User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth
User_57,Emergency_Service,-65 dBm,8.0,1024.0,1126.4
User_63,Web_Browsing,-90 dBm,26.0,1024.0,1024.0
User_67,Emergency_Service,-64 dBm,7.0,1024.0,1126.4
User_398,Video_Streaming,-113 dBm,58.0,1024.0,1433.6
User_27,Emergency_Service,-68 dBm,8.0,1126.4,1228.8
User_47,Emergency_Service,-66 dBm,7.0,1126.4,1228.8
User_53,Web_Browsing,-89 dBm,27.0,1126.4,1126.4
User_390,Video_Streaming,-112 dBm,57.0,1126.4,1536.0
User_13,Web_Browsing,-87 dBm,28.0,1228.8,1228.8
User_17,Emergency_Service,-69 dBm,9.0,1228.8,1331.2
User_43,Web_Browsing,-87 dBm,28.0,1228.8,1228.8
User_382,Video_Streaming,-111 dBm,56.0,1228.8,1638.4
User_33,Web_Browsing,-88 dBm,27.0,1331.2,1331.2
User_374,Video_Streaming,-110 dBm,55.0,1331.2,1740.8
User_396,Streaming,-110 dBm,61.0,1331.2,1843.2
User_23,Web_Browsing,-86 dBm,29.0,1433.6,1433.6
User_366,Video_Streaming,-109 dBm,54.0,1433.6,1843.2
User_388,Streaming,-109 dBm,60.0,1433.6,1945.6
User_131,Web_Browsing,-85 dBm,28.0,1536.0,1536.0
User_358,Video_Streaming,-108 dBm,53.0,1536.0,1945.6
User_380,Streaming,-108 dBm,59.0,1536.0,2048.0
User_350,Video_Streaming,-107 dBm,52.0,1638.4,2048.0
User_372,Streaming,-107 dBm,58.0,1638.4,2150.4
User_342,Video_Streaming,-106 dBm,51.0,1740.8,2150.4
User_364,Streaming,-106 dBm,57.0,1740.8,2252.8
User_334,Video_Streaming,-105 dBm,50.0,1843.2,2252.8
User_356,Streaming,-105 dBm,56.0,1843.2,2355.2
User_326,Video_Streaming,-104 dBm,49.0,1945.6,2355.2
User_348,Streaming,-104 dBm,55.0,1945.6,2457.6
User_8,IoT_Temperature,-95 dBm,100.0,10.0,15.0
User_330,VoIP_Call,-64 dBm,44.0,10.0,35.0
User_1,Video_Call,-75 dBm,30.0,10240.0,15360.0
User_15,Video_Call,-74 dBm,29.0,10240.0,12288.0
User_31,Video_Call,-78 dBm,30.0,10444.8,12492.8
User_45,Video_Call,-71 dBm,26.0,10444.8,12902.4
User_61,Video_Call,-81 dBm,29.0,10547.2,12390.4
User_25,Video_Call,-73 dBm,28.0,10752.0,12800.0
User_41,Video_Call,-79 dBm,29.0,10752.0,12595.2
User_55,Video_Call,-70 dBm,27.0,10956.8,12595.2
User_71,Video_Call,-82 dBm,28.0,10956.8,12492.8
User_35,Video_Call,-72 dBm,27.0,11059.2,13107.2
User_81,Video_Call,-83 dBm,27.0,11059.2,12288.0
User_111,Video_Call,-83 dBm,27.0,11059.2,12288.0
User_65,Video_Call,-69 dBm,26.0,11161.6,12697.6
User_91,Video_Call,-84 dBm,26.0,11161.6,12390.4
User_2,Voice_Call,-80 dBm,20.0,100.0,120.0
User_186,VoIP_Call,-82 dBm,26.0,100.0,125.0
User_178,VoIP_Call,-83 dBm,25.0,105.0,130.0
User_21,Video_Call,-77 dBm,31.0,11264.0,13312.0
User_51,Video_Call,-80 dBm,30.0,11264.0,12800.0
User_75,Video_Call,-68 dBm,25.0,11264.0,12800.0
User_135,Video_Call,-66 dBm,26.0,11264.0,12595.2
User_142,Video_Call,-67 dBm,27.0,11366.4,12697.6
User_85,Video_Call,-67 dBm,24.0,11468.8,13107.2
User_104,Video_Call,-67 dBm,24.0,11468.8,12800.0
User_124,Video_Call,-67 dBm,24.0,11468.8,12800.0
User_150,Video_Call,-68 dBm,28.0,11571.2,12902.4
User_95,Video_Call,-66 dBm,23.0,11673.6,13004.8
User_115,Video_Call,-68 dBm,25.0,11673.6,13004.8
User_157,Video_Call,-66 dBm,25.0,11776.0,13107.2
User_165,Video_Call,-65 dBm,24.0,11878.4,13209.6
User_173,Video_Call,-64 dBm,25.0,11980.8,13312.0
User_181,Video_Call,-63 dBm,26.0,12083.2,13414.4
User_189,Video_Call,-63 dBm,27.0,12185.6,13516.8
User_170,VoIP_Call,-84 dBm,24.0,110.0,135.0
User_162,VoIP_Call,-85 dBm,23.0,115.0,140.0
User_11,Video_Call,-76 dBm,32.0,12288.0,14336.0
User_197,Video_Call,-62 dBm,28.0,12288.0,13619.2
User_205,Video_Call,-61 dBm,29.0,12390.4,13721.6
User_213,Video_Call,-60 dBm,30.0,12492.8,13824.0
User_221,Video_Call,-59 dBm,31.0,12595.2,13926.4
User_229,Video_Call,-58 dBm,32.0,12697.6,14028.8
User_237,Video_Call,-57 dBm,33.0,12800.0,14131.2
User_245,Video_Call,-56 dBm,34.0,12902.4,14233.6
User_253,Video_Call,-55 dBm,35.0,13004.8,14336.0
User_261,Video_Call,-54 dBm,36.0,13107.2,14438.4
User_269,Video_Call,-53 dBm,37.0,13209.6,14540.8
User_155,VoIP_Call,-86 dBm,22.0,120.0,145.0
User_147,VoIP_Call,-87 dBm,21.0,125.0,150.0
User_277,Video_Call,-52 dBm,38.0,13312.0,14643.2
User_285,Video_Call,-51 dBm,39.0,13414.4,14745.6
User_293,Video_Call,-50 dBm,40.0,13516.8,14848.0
User_301,Video_Call,-49 dBm,41.0,13619.2,14950.4
User_309,Video_Call,-48 dBm,42.0,13721.6,15052.8
User_317,Video_Call,-47 dBm,43.0,13824.0,15155.2
User_325,Video_Call,-46 dBm,44.0,13926.4,15257.6
User_333,Video_Call,-45 dBm,45.0,14028.8,15360.0
User_341,Video_Call,-45 dBm,46.0,14131.2,15462.4
User_349,Video_Call,-44 dBm,47.0,14233.6,15564.8
User_133,VoIP_Call,-88 dBm,20.0,130.0,155.0
User_357,Video_Call,-43 dBm,48.0,14336.0,15667.2
User_365,Video_Call,-43 dBm,49.0,14438.4,15769.6
User_373,Video_Call,-42 dBm,50.0,14540.8,15872.0
User_381,Video_Call,-41 dBm,51.0,14643.2,15974.4
User_389,Video_Call,-41 dBm,52.0,14745.6,16076.8
User_397,Video_Call,-40 dBm,53.0,14848.0,16179.2
User_94,VoIP_Call,-89 dBm,17.0,140.0,165.0
User_84,VoIP_Call,-88 dBm,18.0,145.0,170.0
User_114,VoIP_Call,-88 dBm,18.0,145.0,170.0
User_322,VoIP_Call,-65 dBm,43.0,15.0,40.0
User_14,VoIP_Call,-81 dBm,22.0,150.0,170.0
User_74,VoIP_Call,-87 dBm,19.0,150.0,175.0
User_110,VoIP_Call,-85 dBm,19.0,150.0,175.0
User_130,Video_Call,-85 dBm,19.0,150.0,175.0
User_64,VoIP_Call,-86 dBm,20.0,155.0,180.0
User_101,VoIP_Call,-86 dBm,18.0,155.0,180.0
User_121,VoIP_Call,-86 dBm,19.0,155.0,180.0
User_24,VoIP_Call,-82 dBm,21.0,160.0,180.0
User_54,VoIP_Call,-85 dBm,21.0,160.0,190.0
User_44,VoIP_Call,-84 dBm,20.0,165.0,185.0
User_34,VoIP_Call,-83 dBm,20.0,170.0,190.0
User_79,IoT_Temperature,-102 dBm,101.0,2.0,3.0
User_5,Online_Gaming,-78 dBm,25.0,2048.0,3072.0
User_10,File_Download,-75 dBm,45.0,2048.0,2048.0
User_318,Video_Streaming,-103 dBm,48.0,2048.0,2457.6
User_340,Streaming,-103 dBm,54.0,2048.0,2560.0
User_310,Video_Streaming,-102 dBm,47.0,2150.4,2560.0
User_332,Streaming,-102 dBm,53.0,2150.4,2662.4
User_22,Online_Gaming,-80 dBm,23.0,2252.8,2560.0
User_302,Video_Streaming,-101 dBm,46.0,2252.8,2662.4
User_324,Streaming,-101 dBm,52.0,2252.8,2764.8
User_32,Online_Gaming,-79 dBm,24.0,2355.2,2662.4
User_294,Video_Streaming,-100 dBm,45.0,2355.2,2764.8
User_316,Streaming,-100 dBm,51.0,2355.2,2867.2
User_42,Online_Gaming,-78 dBm,25.0,2457.6,2764.8
User_286,Video_Streaming,-99 dBm,44.0,2457.6,2867.2
User_308,Streaming,-99 dBm,50.0,2457.6,2969.6
User_12,Online_Gaming,-79 dBm,24.0,2560.0,2867.2
User_278,Video_Streaming,-98 dBm,43.0,2560.0,2969.6
User_300,Streaming,-98 dBm,49.0,2560.0,3072.0
User_52,Online_Gaming,-77 dBm,24.0,2662.4,2969.6
User_270,Video_Streaming,-97 dBm,42.0,2662.4,3072.0
User_292,Streaming,-97 dBm,48.0,2662.4,3174.4
User_62,Online_Gaming,-76 dBm,23.0,2764.8,3072.0
User_262,Video_Streaming,-96 dBm,41.0,2764.8,3174.4
User_284,Streaming,-96 dBm,47.0,2764.8,3276.8
User_72,Online_Gaming,-75 dBm,22.0,2867.2,3174.4
User_254,Video_Streaming,-95 dBm,40.0,2867.2,3276.8
User_276,Streaming,-95 dBm,46.0,2867.2,3379.2
User_82,Online_Gaming,-74 dBm,21.0,2969.6,3276.8
User_102,Online_Gaming,-74 dBm,22.0,2969.6,3276.8
User_122,Online_Gaming,-74 dBm,22.0,2969.6,3276.8
User_246,Video_Streaming,-94 dBm,39.0,2969.6,3379.2
User_268,Streaming,-94 dBm,45.0,2969.6,3481.6
User_314,VoIP_Call,-66 dBm,42.0,20.0,45.0
User_306,VoIP_Call,-67 dBm,41.0,25.0,50.0
User_69,IoT_Temperature,-101 dBm,102.0,3.0,4.0
User_9,Video_Streaming,-82 dBm,35.0,3072.0,3584.0
User_92,Online_Gaming,-73 dBm,20.0,3072.0,3379.2
User_238,Video_Streaming,-93 dBm,38.0,3072.0,3481.6
User_260,Streaming,-93 dBm,44.0,3072.0,3584.0
User_112,Online_Gaming,-72 dBm,21.0,3174.4,3481.6
User_230,Video_Streaming,-92 dBm,37.0,3174.4,3584.0
User_252,Streaming,-92 dBm,43.0,3174.4,3686.4
User_20,Video_Streaming,-83 dBm,34.0,3276.8,3584.0
User_140,Online_Gaming,-72 dBm,20.0,3276.8,3584.0
User_222,Video_Streaming,-91 dBm,36.0,3276.8,3686.4
User_244,Streaming,-91 dBm,42.0,3276.8,3788.8
User_148,Online_Gaming,-71 dBm,19.0,3379.2,3686.4
User_214,Video_Streaming,-90 dBm,35.0,3379.2,3788.8
User_236,Streaming,-90 dBm,41.0,3379.2,3891.2
User_30,Video_Streaming,-84 dBm,33.0,3481.6,3788.8
User_163,Online_Gaming,-70 dBm,18.0,3481.6,3788.8
User_206,Video_Streaming,-89 dBm,34.0,3481.6,3891.2
User_228,Streaming,-89 dBm,40.0,3481.6,3993.6
User_40,Video_Streaming,-85 dBm,32.0,3584.0,3891.2
User_171,Online_Gaming,-69 dBm,19.0,3584.0,3891.2
User_198,Video_Streaming,-88 dBm,33.0,3584.0,3993.6
User_220,Streaming,-88 dBm,39.0,3584.0,4096.0
User_50,Video_Streaming,-86 dBm,31.0,3686.4,3993.6
User_179,Online_Gaming,-68 dBm,20.0,3686.4,3993.6
User_190,Video_Streaming,-87 dBm,32.0,3686.4,4096.0
User_212,Streaming,-87 dBm,38.0,3686.4,4198.4
User_60,Video_Streaming,-87 dBm,32.0,3788.8,4096.0
User_182,Video_Streaming,-86 dBm,31.0,3788.8,4198.4
User_187,Online_Gaming,-67 dBm,21.0,3788.8,4096.0
User_204,Streaming,-86 dBm,37.0,3788.8,4300.8
User_46,Streaming,-81 dBm,35.0,3891.2,4505.6
User_70,Video_Streaming,-88 dBm,31.0,3891.2,4198.4
User_174,Video_Streaming,-85 dBm,29.0,3891.2,4300.8
User_195,Online_Gaming,-66 dBm,22.0,3891.2,4198.4
User_196,Streaming,-85 dBm,36.0,3891.2,4403.2
User_80,Video_Streaming,-89 dBm,30.0,3993.6,4300.8
User_166,Video_Streaming,-84 dBm,30.0,3993.6,4403.2
User_188,Streaming,-84 dBm,35.0,3993.6,4505.6
User_203,Online_Gaming,-65 dBm,23.0,3993.6,4300.8
User_298,VoIP_Call,-68 dBm,40.0,30.0,55.0
User_290,VoIP_Call,-69 dBm,39.0,35.0,60.0
User_393,Background_Download,-123 dBm,78.0,350.0,350.0
User_385,Background_Download,-122 dBm,77.0,360.0,360.0
User_377,Background_Download,-121 dBm,76.0,370.0,370.0
User_369,Background_Download,-120 dBm,75.0,380.0,380.0
User_361,Background_Download,-119 dBm,74.0,390.0,390.0
User_59,IoT_Temperature,-100 dBm,103.0,4.0,5.0
User_36,Streaming,-82 dBm,36.0,4096.0,4710.4
User_90,Video_Streaming,-90 dBm,29.0,4096.0,4403.2
User_109,Video_Streaming,-90 dBm,29.0,4096.0,4403.2
User_129,Video_Streaming,-90 dBm,29.0,4096.0,4403.2
User_151,Video_Streaming,-82 dBm,30.0,4096.0,4505.6
User_158,Video_Streaming,-83 dBm,31.0,4096.0,4505.6
User_180,Streaming,-83 dBm,34.0,4096.0,4608.0
User_211,Online_Gaming,-64 dBm,24.0,4096.0,4403.2
User_56,Streaming,-80 dBm,35.0,4198.4,4812.8
User_100,Video_Streaming,-91 dBm,28.0,4198.4,4505.6
User_120,Video_Streaming,-89 dBm,30.0,4198.4,4505.6
User_143,Video_Streaming,-81 dBm,28.0,4198.4,4608.0
User_172,Streaming,-82 dBm,33.0,4198.4,4710.4
User_219,Online_Gaming,-63 dBm,25.0,4198.4,4505.6
User_26,Streaming,-83 dBm,37.0,4300.8,4915.2
User_136,Video_Streaming,-80 dBm,29.0,4300.8,4710.4
User_164,Streaming,-81 dBm,32.0,4300.8,4812.8
User_227,Online_Gaming,-62 dBm,26.0,4300.8,4608.0
User_66,Streaming,-79 dBm,34.0,4403.2,5017.6
User_149,Streaming,-79 dBm,33.0,4403.2,4915.2
User_235,Online_Gaming,-61 dBm,27.0,4403.2,4710.4
User_76,Streaming,-78 dBm,33.0,4505.6,5120.0
User_141,Streaming,-78 dBm,32.0,4505.6,5120.0
User_156,Streaming,-80 dBm,31.0,4505.6,5017.6
User_243,Online_Gaming,-60 dBm,28.0,4505.6,4812.8
User_16,Streaming,-84 dBm,38.0,4608.0,5120.0
User_86,Streaming,-77 dBm,32.0,4608.0,5222.4
User_105,Streaming,-77 dBm,32.0,4608.0,5222.4
User_125,Streaming,-77 dBm,32.0,4608.0,5222.4
User_251,Online_Gaming,-59 dBm,29.0,4608.0,4915.2
User_96,Streaming,-76 dBm,31.0,4710.4,5324.8
User_116,Streaming,-76 dBm,31.0,4710.4,5324.8
User_259,Online_Gaming,-58 dBm,30.0,4710.4,5017.6
User_267,Online_Gaming,-57 dBm,31.0,4812.8,5120.0
User_275,Online_Gaming,-56 dBm,32.0,4915.2,5222.4
User_283,Online_Gaming,-55 dBm,33.0,5017.6,5324.8
User_282,VoIP_Call,-70 dBm,38.0,40.0,65.0
User_353,Background_Download,-118 dBm,73.0,400.0,400.0
User_345,Background_Download,-117 dBm,72.0,410.0,410.0
User_337,Background_Download,-116 dBm,71.0,420.0,420.0
User_329,Background_Download,-115 dBm,70.0,430.0,430.0
User_321,Background_Download,-114 dBm,69.0,440.0,440.0
User_274,VoIP_Call,-71 dBm,37.0,45.0,70.0
User_313,Background_Download,-113 dBm,68.0,450.0,450.0
User_305,Background_Download,-112 dBm,67.0,460.0,460.0
User_297,Background_Download,-111 dBm,66.0,470.0,470.0
User_289,Background_Download,-110 dBm,65.0,480.0,480.0
User_281,Background_Download,-109 dBm,64.0,490.0,490.0
User_49,IoT_Temperature,-99 dBm,104.0,5.0,6.0
User_338,VoIP_Call,-63 dBm,45.0,5.0,30.0
User_3,Streaming,-85 dBm,40.0,5120.0,6144.0
User_134,Streaming,-75 dBm,30.0,5120.0,5836.8
User_291,Online_Gaming,-54 dBm,34.0,5120.0,5427.2
User_299,Online_Gaming,-53 dBm,35.0,5222.4,5529.6
User_307,Online_Gaming,-52 dBm,36.0,5324.8,5632.0
User_315,Online_Gaming,-51 dBm,37.0,5427.2,5734.4
User_323,Online_Gaming,-50 dBm,38.0,5529.6,5836.8
User_331,Online_Gaming,-49 dBm,39.0,5632.0,5939.2
User_339,Online_Gaming,-48 dBm,40.0,5734.4,6041.6
User_347,Online_Gaming,-47 dBm,41.0,5836.8,6144.0
User_355,Online_Gaming,-46 dBm,42.0,5939.2,6246.4
User_363,Online_Gaming,-45 dBm,43.0,6041.6,6348.8
User_266,VoIP_Call,-72 dBm,36.0,50.0,75.0
User_6,Background_Download,-90 dBm,50.0,500.0,550.0
User_273,Background_Download,-108 dBm,63.0,500.0,500.0
User_265,Background_Download,-107 dBm,62.0,510.0,510.0
User_257,Background_Download,-106 dBm,61.0,520.0,520.0
User_249,Background_Download,-105 dBm,60.0,530.0,530.0
User_241,Background_Download,-104 dBm,59.0,540.0,540.0
User_258,VoIP_Call,-73 dBm,35.0,55.0,80.0
User_233,Background_Download,-103 dBm,58.0,550.0,550.0
User_225,Background_Download,-102 dBm,57.0,560.0,560.0
User_217,Background_Download,-102 dBm,56.0,570.0,570.0
User_209,Background_Download,-101 dBm,55.0,580.0,580.0
User_201,Background_Download,-100 dBm,54.0,590.0,590.0
User_39,IoT_Temperature,-98 dBm,105.0,6.0,7.0
User_371,Online_Gaming,-44 dBm,44.0,6144.0,6451.2
User_379,Online_Gaming,-43 dBm,45.0,6246.4,6553.6
User_387,Online_Gaming,-42 dBm,46.0,6348.8,6656.0
User_395,Online_Gaming,-41 dBm,47.0,6451.2,6758.4
User_250,VoIP_Call,-74 dBm,34.0,60.0,85.0
User_18,Background_Download,-91 dBm,48.0,600.0,600.0
User_193,Background_Download,-100 dBm,53.0,600.0,600.0
User_146,Background_Download,-95 dBm,47.0,610.0,610.0
User_185,Background_Download,-99 dBm,52.0,610.0,610.0
User_28,Background_Download,-92 dBm,47.0,620.0,620.0
User_132,Background_Download,-99 dBm,46.0,620.0,620.0
User_177,Background_Download,-98 dBm,51.0,620.0,620.0
User_38,Background_Download,-93 dBm,46.0,630.0,630.0
User_169,Background_Download,-98 dBm,50.0,630.0,630.0
User_48,Background_Download,-94 dBm,45.0,640.0,640.0
User_161,Background_Download,-97 dBm,49.0,640.0,640.0
User_242,VoIP_Call,-75 dBm,33.0,65.0,90.0
User_58,Background_Download,-95 dBm,46.0,650.0,650.0
User_154,Background_Download,-94 dBm,48.0,650.0,650.0
User_68,Background_Download,-96 dBm,45.0,660.0,660.0
User_139,Background_Download,-96 dBm,45.0,660.0,660.0
User_78,Background_Download,-97 dBm,44.0,670.0,670.0
User_107,Background_Download,-97 dBm,44.0,670.0,670.0
User_127,Background_Download,-97 dBm,44.0,670.0,670.0
User_88,Background_Download,-98 dBm,43.0,680.0,680.0
User_118,Background_Download,-98 dBm,43.0,680.0,680.0
User_98,Background_Download,-99 dBm,42.0,690.0,690.0
User_29,IoT_Temperature,-97 dBm,110.0,7.0,8.0
User_234,VoIP_Call,-76 dBm,32.0,70.0,95.0
User_226,VoIP_Call,-77 dBm,31.0,75.0,100.0
User_19,IoT_Temperature,-96 dBm,105.0,8.0,9.0
User_218,VoIP_Call,-78 dBm,30.0,80.0,105.0
User_210,VoIP_Call,-79 dBm,29.0,85.0,110.0
User_202,VoIP_Call,-80 dBm,28.0,90.0,115.0
User_194,VoIP_Call,-81 dBm,27.0,95.0,120.0
,VoIP_Call,,21.309377702973926,37.380620705609644,43.22799225610067
,VoIP_Call,,20.380786621979894,110.82573282522526,96.60542651121534
,VoIP_Call,,41.269701784994616,101.55854504126619,66.3772573060256
,VoIP_Call,,36.88437836893604,98.74586175898885,125.37747836032867
,VoIP_Call,,37.172269644503174,105.23793601126661,181.5086051875882
,VoIP_Call,,38.13696915052762,62.51520272408467,119.82050742588018
,VoIP_Call,,29.184516714288986,73.56950510371391,145.69777952270493
,VoIP_Call,,41.9991957433775,31.742520424485395,156.91748898644974
,VoIP_Call,,25.4283433332131,17.416676741849347,129.4576509823328
,VoIP_Call,,47.078824945456795,9.88430618529546,5.537967316936999
,VoIP_Call,,41.60637782969246,63.397325955184414,57.15872937732058
,VoIP_Call,,36.57772126576354,82.41449816133343,168.99101045285045
,VoIP_Call,,50.37751217187023,97.99672818235207,50.81213749828798
,VoIP_Call,,46.71841519154709,106.224418331171,113.63210793590194
,VoIP_Call,,42.654925401973756,133.86945152444667,112.0277637590234
,VoIP_Call,,42.00481175382555,144.11100336183313,77.43005724665136
,VoIP_Call,,29.86486098826576,126.15213737320971,29.578193208998236
,VoIP_Call,,30.49282936498145,136.03864357939878,11.458693616009052
,VoIP_Call,,26.03517740955843,167.79100347736716,123.6093492788716
,VoIP_Call,,34.56103970012798,3.822075763649384,160.5877711566117
,VoIP_Call,,42.00168510688341,94.10406174814408,151.95596622929054
,VoIP_Call,,17.600461399626425,48.27216919459341,185.4047706475432
,VoIP_Call,,23.51873744257753,139.30462441906815,69.86045025087851
,VoIP_Call,,46.417993602566796,26.67866589809646,24.98226426783355
,VoIP_Call,,37.720604222298334,130.02818200913967,21.580992252494973
,VoIP_Call,,35.874895539131536,41.47325033035043,114.52346641588491
,VoIP_Call,,41.527850298859605,118.11373652274072,118.34292887465024
,VoIP_Call,,23.53478616139966,44.27217647512775,37.004271288032264
,VoIP_Call,,41.76342585986724,35.76414760617012,67.0381358649481
,VoIP_Call,,35.23613209937152,116.46969582305347,149.4901731640187
,VoIP_Call,,49.816159173060946,33.30778013485492,172.20502880153856
,VoIP_Call,,35.40816625031955,61.11666742078661,187.45146996834686
,VoIP_Call,,18.72278595875249,26.92550259864325,132.29031333887286
,VoIP_Call,,51.482252340059546,56.658010156872685,19.60176741964973
,VoIP_Call,,26.393119429925818,60.613755012412355,177.59754906014305
,VoIP_Call,,21.54207366762728,169.41006200507505,185.96961734890473
,VoIP_Call,,42.8308090248518,107.23236792101402,26.063402991830387
,VoIP_Call,,25.126769817241268,6.67620978718114,49.50858134992543
,VoIP_Call,,35.91833570698067,12.490987692606804,148.23073337867214
,VoIP_Call,,37.959862010813225,95.97880112630133,160.54133937060516
,VoIP_Call,,20.21425698434868,100.77369010268148,97.10275381655185
